Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1819179,2015-02-25 17:13:17,2015-02-25 17:10:33,715736,736368388,0,1028,1600,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/819/SRR1819179/SRR1819179.lite.1,SRX891026,Male assembly-454,WGS,unspecified,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,SRP051664,PRJNA271489,2,271489,SRS857416,SAMN03375437,simple,3649,Carica papaya,MSY assembly -454,,,,,,,no,,,,,UIUC,SRA222207,,public,4312DA336462C5269979DC6016038C2F,8006B0F75C9D72A6D04F6285ED2BFABF
SRR1766375,2015-02-12 00:00:00,2015-02-10 02:04:05,26815590,5416749180,26815590,202,3554,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766375/SRR1766375.sralite.1,SRX847797,HCAR196,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823254,SAMN03274583,simple,3649,Carica papaya,HCAR196,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,5144E61E0B91068B893D1FD1478E0228,8D32F80616FDE29FDF1488FDD91FED67
SRR1822203,2015-02-28 14:41:12,2015-02-28 14:30:27,26815590,5416749180,26815590,202,3052,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822203/SRR1822203.sralite.1,SRX847797,HCAR196,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823254,SAMN03274583,simple,3649,Carica papaya,HCAR196,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,EF0BDCB43595E2CAC9FA81F2FCB96792,8D32F80616FDE29FDF1488FDD91FED67
SRR1766376,2015-02-12 00:00:00,2015-02-10 09:29:14,18931566,3824176332,18931566,202,2133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766376/SRR1766376.sralite.1,SRX847798,HCAR207,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823255,SAMN03274584,simple,3649,Carica papaya,HCAR207,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,4B56892A437CAC37C698C958B3024187,FB93089E8EDE13F818CE3680EDF7B835
SRR1822204,2015-02-28 14:35:12,2015-02-28 14:27:35,18931566,3824176332,18931566,202,1790,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822204/SRR1822204.sralite.1,SRX847798,HCAR207,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823255,SAMN03274584,simple,3649,Carica papaya,HCAR207,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,7870E4A7FF2C0C2FFA4AC804B2AF9F44,FB93089E8EDE13F818CE3680EDF7B835
SRR1766377,2015-02-12 00:00:00,2015-02-10 02:09:07,18322599,3701164998,18322599,202,2088,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766377/SRR1766377.sralite.1,SRX847799,HCAR217,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823256,SAMN03274585,simple,3649,Carica papaya,HCAR217,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,64E4ACBAD893E685BC0457F4610087B3,1481DD0465B965A7A47223337DBA4135
SRR1822205,2015-02-28 14:34:10,2015-02-28 14:26:49,18322599,3701164998,18322599,202,1742,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822205/SRR1822205.sralite.1,SRX847799,HCAR217,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823256,SAMN03274585,simple,3649,Carica papaya,HCAR217,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,00097DC28897C34C78300721098ACB0F,1481DD0465B965A7A47223337DBA4135
SRR1766378,2015-02-12 00:00:00,2015-02-10 10:52:16,16799494,3393497788,16799494,202,1913,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766378/SRR1766378.sralite.1,SRX847800,HCAR302,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823257,SAMN03274586,simple,3649,Carica papaya,HCAR302,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,83EFEB3148C739CBDA44078DEBE20C03,2A89E3793829BA441BDC0DE43CA680BB
SRR1822206,2015-02-28 14:33:12,2015-02-28 14:27:00,16799494,3393497788,16799494,202,1598,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822206/SRR1822206.sralite.1,SRX847800,HCAR302,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823257,SAMN03274586,simple,3649,Carica papaya,HCAR302,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,28F7027A843DBF9D4FCDF65FFBEB2012,2A89E3793829BA441BDC0DE43CA680BB
SRR1766379,2015-02-12 00:00:00,2015-02-10 10:51:32,13912543,2810333686,13912543,202,1592,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766379/SRR1766379.sralite.1,SRX847801,HCAR309,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823258,SAMN03274587,simple,3649,Carica papaya,HCAR309,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,8A0961B68DA58C59766AE0F02E46D228,84E86B89CDBB4C50F98E9F25EA90AEBC
SRR1822207,2015-02-28 14:28:14,2015-02-28 14:21:04,13912543,2810333686,13912543,202,1366,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822207/SRR1822207.sralite.1,SRX847801,HCAR309,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823258,SAMN03274587,simple,3649,Carica papaya,HCAR309,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,CF671DCA5FA6FBB229F33B3BFE50D808,84E86B89CDBB4C50F98E9F25EA90AEBC
SRR1766348,2015-02-12 00:00:00,2015-02-10 01:50:03,30527403,6166535406,30527403,202,3717,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766348/SRR1766348.sralite.1,SRX847792,Cp227,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823249,SAMN03274578,simple,3649,Carica papaya,Cp227,,,,,male,,no,,,,,UIUC,SRA222207,,public,AED11950455B90E631463EEBC83863C8,03AABF6BAE877A108202D536684BBF31
SRR1822198,2015-02-28 15:42:11,2015-02-28 15:32:18,30527403,6166535406,30527403,202,3161,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822198/SRR1822198.sralite.1,SRX847792,Cp227,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823249,SAMN03274578,simple,3649,Carica papaya,Cp227,,,,,male,,no,,,,,UIUC,SRA222207,,public,6DA1036492516DFB8862DBF5A757757F,03AABF6BAE877A108202D536684BBF31
SRR1822199,2015-02-28 15:40:13,2015-02-28 15:30:19,30405103,6141830806,30405103,202,3480,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822199/SRR1822199.sralite.1,SRX847793,HCAR16,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823250,SAMN03274579,simple,3649,Carica papaya,HCAR16,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,DB0B96A9A80C0F9E4ED1E1172E1B7AA4,430C824E94C138ACBD4F22034D86DD8E
SRR1766371,2015-02-12 00:00:00,2015-02-10 01:59:51,30405103,6141830806,30405103,202,4037,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766371/SRR1766371.sralite.1,SRX847793,HCAR16,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823250,SAMN03274579,simple,3649,Carica papaya,HCAR16,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,6627B9E9631B55B7A08AED78B1974757,430C824E94C138ACBD4F22034D86DD8E
SRR1766372,2015-02-12 00:00:00,2015-02-10 02:07:39,47308928,9556403456,47308928,202,6184,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766372/SRR1766372.sralite.1,SRX847794,HCAR17,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823251,SAMN03274580,simple,3649,Carica papaya,HCAR17,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,7771C81F41EEC76D9375D490A76D8961,3B63E44A8A33F3972941F2656120199A
SRR1822200,2015-02-28 15:51:12,2015-02-28 15:37:31,47308928,9556403456,47308928,202,5288,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822200/SRR1822200.sralite.1,SRX847794,HCAR17,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823251,SAMN03274580,simple,3649,Carica papaya,HCAR17,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,ACFF937A15247C8C879A001DFFDD52D6,3B63E44A8A33F3972941F2656120199A
SRR1822201,2015-02-28 14:40:10,2015-02-28 14:28:59,27625175,5580285350,27625175,202,3178,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822201/SRR1822201.sralite.1,SRX847795,HCAR20,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823252,SAMN03274581,simple,3649,Carica papaya,HCAR20,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,09152773B9D9D1A435ECFDD3BC2B1489,78B6F5E367A34E4CDD1A70AE626CDCD6
SRR1766373,2015-02-12 00:00:00,2015-02-10 02:07:50,27625175,5580285350,27625175,202,3679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766373/SRR1766373.sralite.1,SRX847795,HCAR20,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823252,SAMN03274581,simple,3649,Carica papaya,HCAR20,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,CA793A3D4C4C91E13D5B80B81B8A58A1,78B6F5E367A34E4CDD1A70AE626CDCD6
SRR1766374,2015-02-12 00:00:00,2015-02-10 02:15:56,48174233,9731195066,48174233,202,6312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766374/SRR1766374.sralite.1,SRX847796,HCAR27,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823253,SAMN03274582,simple,3649,Carica papaya,HCAR27,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,FD26D81D68AB899A72CDF6B3FE624E70,7186F460987940F33228320F6270B9D3
SRR1822202,2015-02-28 15:38:10,2015-02-28 15:28:01,33323365,6731319629,33323364,201,3725,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822202/SRR1822202.sralite.1,SRX847796,HCAR27,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823253,SAMN03274582,simple,3649,Carica papaya,HCAR27,,,,,hermaphrodite,,no,,,,,UIUC,SRA222207,,public,F2F5C8726F98B03673FD80F96DC1F0ED,FEBBEAA20BEFD2454EE4DB3A88F3C47D
SRR1766341,2015-02-12 00:00:00,2015-02-09 23:49:11,41564101,8395948402,41564101,202,5027,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766341/SRR1766341.sralite.1,SRX847790,Cp171,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823247,SAMN03274576,simple,3649,Carica papaya,Cp171,,,,,male,,no,,,,,UIUC,SRA222207,,public,3AE1046E7D0CEA50D4AD394C03C0BBBE,9B096A3EDB5956EA6FC6B74B1AC41BB7
SRR1822196,2015-02-28 16:44:11,2015-02-28 16:30:33,41564101,8395948402,41564101,202,4318,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822196/SRR1822196.sralite.1,SRX847790,Cp171,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823247,SAMN03274576,simple,3649,Carica papaya,Cp171,,,,,male,,no,,,,,UIUC,SRA222207,,public,59914ADC6C189731AB423433534EA254,9B096A3EDB5956EA6FC6B74B1AC41BB7
SRR1822194,2015-02-28 16:34:11,2015-02-28 16:26:22,28451281,5747158762,28451281,202,2916,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822194/SRR1822194.sralite.1,SRX847788,Cp188,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823245,SAMN03274574,simple,3649,Carica papaya,Cp188,,,,,male,,no,,,,,UIUC,SRA222207,,public,01709CFF6F536F4E8014CF6D5B5C61BF,AF6A119CC1262D1C4B6B6148B5073E72
SRR1766338,2015-02-12 00:00:00,2015-02-10 01:28:44,28451281,5747158762,28451281,202,3443,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766338/SRR1766338.sralite.1,SRX847788,Cp188,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823245,SAMN03274574,simple,3649,Carica papaya,Cp188,,,,,male,,no,,,,,UIUC,SRA222207,,public,F725C86B8EBE22E0836C938B0256E5BC,AF6A119CC1262D1C4B6B6148B5073E72
SRR1766339,2015-02-12 00:00:00,2015-02-10 01:34:20,31997441,6463483082,31997441,202,3897,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766339/SRR1766339.sralite.1,SRX847789,Cp202,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823246,SAMN03274575,simple,3649,Carica papaya,Cp202,,,,,male,,no,,,,,UIUC,SRA222207,,public,D06A30DBC924EDF81F46AF997EDF6802,51ACFDD146ED00EA1DC2D1A0C7D1C7F7
SRR1822195,2015-02-28 15:45:13,2015-02-28 15:33:34,31997441,6463483082,31997441,202,3290,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822195/SRR1822195.sralite.1,SRX847789,Cp202,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823246,SAMN03274575,simple,3649,Carica papaya,Cp202,,,,,male,,no,,,,,UIUC,SRA222207,,public,DD46E0069D40326F46710BC7D1605F5D,51ACFDD146ED00EA1DC2D1A0C7D1C7F7
SRR1822197,2015-02-28 16:00:12,2015-02-28 15:42:41,46041481,9300379162,46041481,202,4690,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822197/SRR1822197.sralite.1,SRX847791,Cp222,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823248,SAMN03274577,simple,3649,Carica papaya,Cp222,,,,,male,,no,,,,,UIUC,SRA222207,,public,9650A3C7109A6DCCF515A2B0DD547ECA,59835A42B7EA448B9868EEB14080FFFB
SRR1766343,2015-02-12 00:00:00,2015-02-10 01:49:13,46041481,9300379162,46041481,202,5580,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766343/SRR1766343.sralite.1,SRX847791,Cp222,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823248,SAMN03274577,simple,3649,Carica papaya,Cp222,,,,,male,,no,,,,,UIUC,SRA222207,,public,FFF4A2F59BE65E354D33987961046E96,59835A42B7EA448B9868EEB14080FFFB
SRR1822191,2015-02-28 16:35:11,2015-02-28 16:28:48,16498230,3332642460,16498230,202,1704,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822191/SRR1822191.sralite.1,SRX847786,Cp50,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823243,SAMN03274573,simple,3649,Carica papaya,Cp50,,,,,male,,no,,,,,UIUC,SRA222207,,public,EF3B70008E66E1A1DE10951519F2E10E,726E6F209358540EBAED7B7554E78E4E
SRR1766337,2015-02-12 00:00:00,2015-02-10 01:41:17,16498230,3332642460,16498230,202,1998,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/766/SRR1766337/SRR1766337.sralite.1,SRX847786,Cp50,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS823243,SAMN03274573,simple,3649,Carica papaya,Cp50,,,,,male,,no,,,,,UIUC,SRA222207,,public,17D3B4902DAD9C48A648B482712898FB,726E6F209358540EBAED7B7554E78E4E
SRR1765885,2015-02-12 00:00:00,2015-02-09 23:53:04,51569790,10417097580,51569790,202,6239,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/765/SRR1765885/SRR1765885.sralite.1,SRX847421,Cp172,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS822894,SAMN03274568,simple,3649,Carica papaya,Cp172,,,,,male,,no,,,,,UIUC,SRA222207,,public,E21D3F5A04BF4A4BE768099F203DFAD4,79FCA063F8A5D20DCF8F5C69518A3DAE
SRR1822170,2015-02-27 21:42:11,2015-02-27 21:24:51,51569790,10417097580,51569790,202,5290,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/822/SRR1822170/SRR1822170.sralite.1,SRX847421,Cp172,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP051664,PRJNA271489,2,271489,SRS822894,SAMN03274568,simple,3649,Carica papaya,Cp172,,,,,male,,no,,,,,UIUC,SRA222207,,public,B195242986FA8E3352D819936319BD36,79FCA063F8A5D20DCF8F5C69518A3DAE
